id,name,domain,confidence,verified,companies_api_name,description,all_candidates
149,3Gen Internet Corporation,3gen.io,fuzzy,no,,,3gen.io(logodev) 3genservices.com(logodev) 3gentech.co.za(logodev) 3gen-tr.com(logodev) 3gengrafik.com(logodev)
115,"Above Security, Inc.",insiderisk.io,exact,no,,,"insiderisk.io(brandfetch,exact) abovesec.com(logodev,exact) abovesecurity.co.uk(logodev,exact) above.com(logodev) abovesurveying.com(logodev) andabove.com(logodev)"
176,"Aetos Imaging, Inc.",aetosimaging.com,exact,yes,Aetosimaging,,"aetosimaging.com(brandfetch,exact) aetosimaging.com(logodev,exact) cmisgroup.com(logodev) aetos-data.com(logodev) aetos.es(logodev) aetoscare.com(logodev)"
175,"Agility Holdings, Inc.",agilityholdingsgroup.com,agreed,no,,,agilityholdingsgroup.com(brandfetch) agility.com(logodev) agilityholdingsgroup.com(logodev) agilityads.com(logodev) somosagility.com.br(logodev) agility-inc.com(logodev)
139,Aizome Inc.,aizome-textiles.com,exact,yes,Aizome Textiles,,"aizome-textiles.com(brandfetch,exact) aizomebedding.com(brandfetch,exact) aizome.me(brandfetch,exact) aizome.ai(brandfetch,exact) aizome-textiles.com(logodev,exact) aizome.ai(logodev,exact) aizome.com(logodev,exact) aizomejeans.com(logodev,exact)"
154,"Applause Technology, Inc.",applausehq-sales.com,fuzzy,no,,,applausehq-sales.com(brandfetch) applause.com(logodev) applausehq.com(logodev) applause.dev(logodev) applaus.schule(logodev) applause.tv(logodev)
155,AskElephant.ai Inc.,,none,no,,,
151,"AttackIQ, Inc.",attackiq.com,exact,yes,AttackIQ,"AttackIQ is driving the emerging market of continuous security validation and has built the first platform that enables organizations to test and measure the effectiveness of their security posture. The FireDrill™ platform allows organizations to answer a simple and straightforward question: ""How well are your current security tools, products and processes working?"" Delivering enterprise-class Security as a Service (SaaS) to mid-market and large organizations, FireDrill is a poised to build a new market and change the security game. Join our dynamic team and help accelerate the data-driven security revolution!","attackiq.com(brandfetch,exact) attackiqready.com(brandfetch) attackiq.com(logodev,exact) attackiq.com.au(logodev) attackiqready.com(logodev)"
158,"Burq, Inc.",burqup.com,exact,no,,,"burqup.com(brandfetch,exact) burquitlamfuneralhome.ca(brandfetch) burquip.co.za(brandfetch) burqu.com(brandfetch) burqfx.com(brandfetch) burqup.com(logodev,exact) beburq.com(logodev,exact) burq.io(logodev) burqenergy.com(logodev) theburq.com(logodev)"
161,Clearjet Inc,clearjetconnect.com,exact,no,,,"clearjetconnect.com(brandfetch,exact) clearjet.com(brandfetch,exact) clearjet.com(logodev,exact)"
68,Cognisafe Inc.,cognisafe.com.tr,exact,no,,,"cognisafe.com.tr(logodev,exact) cognisafe.uk(logodev,exact)"
204,"Corellium, Inc.",corellium.com,exact,yes,Corellium,Advance your development work on Arm through the power of virtualization.,"corellium.com(brandfetch,exact) corellium.com(logodev,exact)"
162,Crew Home Technologies INC,octi.com,fuzzy,yes,Occoquan Crew Technologies,"Deep Insight. Fluid Innovation. Occoquan Crew Technologies, Inc. (OCTI), headquartered in Dumfries, VA, provides total service solutions to the Federal government, State government, emerging growth companies, and Global Fortune 1000 corporations, both in the continental United States (CONUS) and overseas (OCONUS). A boutique professional services firm that stands at the intersection of business and technology, OCTI provides creative solutions to meet unique and evolving client needs. We focus on developing a partnership with our clients to thoroughly analyze and document requirements as we jointly develop solutions in a collaborative environment. We clearly define expectations, identifying priority issues. As services are performed, we constantly monitor quality control and assess performance. Our management approach to quality is both proactive and project based. As a result, our clients value our rapid, measurable results, achieved with a commitment to honesty, fanatical customer service, impeccable professionalism, and unimpeachable business ethics. Our criteria for employees, partners, and clients is the same. Smart, Trustworthy, Creative.",octi.com(logodev) homecrew.co(logodev) homecrew.au(logodev) thecrewapp.io(logodev) homecrewpm.com(logodev)
147,"DataRobot, Inc.",datarobot.com,exact,yes,DataRobot,"DataRobot powers the AI-driven enterprise. Its breakthrough invention of automated machine learning empowers users throughout the organization to consistently make business decisions unmatched in simplicity, speed, and accuracy. The DataRobot platform evaluates hundreds of cutting-edge machine learning algorithms to discover, deploy, and customize the best predictive models for every situation. DataRobot delivers the most accurate predictions at scale, providing the fastest path to data science success for organizations of all sizes.","datarobot.com(brandfetch,exact) paxata.com(brandfetch,exact) agnostiq.ai(brandfetch,exact) datarobot.com(logodev,exact) datarobot.de(logodev,exact) databot.pl(logodev,exact) datarobot.world(logodev,exact) datarobot-public-api-client.readthedocs-hosted.com(logodev)"
156,"ELEPHANT AI, L.L.C.",elephantai.io,exact,no,,,"hidingelephant.com(brandfetch) elephantai.io(brandfetch,exact) elephantaid.org(brandfetch) elephantai.io(logodev,exact) eliphantai.com(logodev,exact) elephantaiteam.com(logodev,exact) elephantai.net(logodev,exact) elephantvc.com(logodev)"
185,Enclave Coworking,coworkersllc.com,exact,no,Coworkersllc,"CoWorkers is a shared office space and networking place for established business professionals. We were established for people who need another place to work at times. Home may not be ideal all of the time. And there are some days you don't need to go downtown. Or the coffee shop gets too busy after 3pm. Private office space and conference room available. For another place to work, visit www.cowoworkerllc.com, or call George Rafeedie at 847.921.3925.","coworkersllc.com(brandfetch,exact) enclavecoworking.com(brandfetch,exact) enclavecoworking.com(logodev,exact) 0xenclave.com(logodev) enclavecompanies.com(logodev) enclavepm.com(logodev) joinenclave.com(logodev)"
163,"Enclave535 Holdings, Inc.",bookingholdings.com,fuzzy,no,Booking Holdings,"Booking Holdings is the world's leader in online travel. Brands include Booking.com, priceline.com, agoda.com, Kayak, Rentalcars.com & OpenTable.",bookingholdings.com(logodev) grab.com(logodev) awholdings.com(logodev) arm.com(logodev) tiholdings.com(logodev)
164,"Enzo Health Technology, Inc.",enzo.health,fuzzy,no,,,enzo.health(logodev) enzotechnology.es(logodev) heyenzo.com(logodev) enzoteam.com(logodev) enzoscleaning.com(logodev)
190,Ever Security Inc.,eversecurity.com.pl,exact,no,,,"eversecurity.com.pl(brandfetch,exact) evercars.com(logodev) securityeverafter.com(logodev) everbody.com(logodev) ever-greenenergy.com(logodev) ever-pretty.co.uk(logodev)"
199,"Expel, Inc.",expel.com,exact,yes,Expel,,"inklestudios.com(brandfetch) expel.com(brandfetch,exact) expelee.com(brandfetch) gobindexpeller.com(brandfetch) expel.com(logodev,exact) expel.gg(logodev,exact) expel.de(logodev,exact) expelpest.co.uk(logodev) expel.com.ar(logodev)"
166,Fetch,fetchrewards.com,exact,yes,Fetch Rewards,"Fetch is a mobile shopping platform that connects shoppers, grocers and brands. Fetch offers a smarter way to shop, giving shoppers more information, more convenience, more savings, and more fun along the way. Grocers that offer Fetch to their shoppers benefit from increased loyalty and larger basket sizes, while receiving access to actionable data to increase sales and reduce costs. Brands who work with Fetch are given the chance to interact with shoppers while they are in the aisle holding products in their hands, introducing them to new relevant products and building a relationship with the shopper directly. Mobile shopping is here, and Fetch is the most trusted and tested third party solution available. Over the past year Fetch has expanded rapidly, partnering with dozens of stores and banners with operations now in seven states. If you're interested in partnering, get in touch at info@fetchrewards.com.","fetchpackage.com(brandfetch) fetchrewards.com(brandfetch,exact) fetchpetcare.com(brandfetch) fetchrobotics.com(brandfetch) fetch.com(brandfetch,exact) fetch.ai(logodev,exact) fetch.com(logodev,exact) fetchpetcare.com(logodev,exact) wearefetch.com(logodev,exact) fetchpay.com(logodev,exact)"
165,Fetch Package Inc.,fetchpackage.com,exact,yes,Fetch Package,Last-mile package delivery for apartment buildings. We solve the package problem for property managers while adding a convenient amenity for residents.,"fetchpackage.com(brandfetch,exact) fetch.ai(logodev) fetch.com(logodev) fetchpetcare.com(logodev) wearefetch.com(logodev) fetchpay.com(logodev)"
167,"Glazier Software, Inc.",glaziersoftware.com,exact,no,,,"smart-builder.com(brandfetch) glaziersoftware.com(brandfetch,exact) smartglazier.com(brandfetch) smart-glass.com(brandfetch) glazier.software(brandfetch) glaziersoftware.com(logodev) smartglazier.com(logodev) mrglazier.com(logodev) bosglazier.com(logodev) glazierjobs.net(logodev)"
138,Gradient Security Inc.,gradient.security,exact,no,,,"gradientsecurity.org(brandfetch) gradient.security(logodev,exact) gradientcomfort.com(logodev) gradient.ai(logodev) gradientcorp.com(logodev) begradient.com(logodev)"
